,City,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Lat,Lng
0,Karratha,101.84,28,47,22.95,AU,1638768846,-20.7377,116.8463
1,San Cristobal,71.78,80,100,2.04,VE,1638768746,7.7669,-72.225
2,Province of Mantua,40.44,91,91,3.0,IT,1638768846,45.1667,10.7833
3,Maroantsetra,80.24,74,68,5.17,MG,1638768847,-15.4333,49.7333
4,Sinop Province,41.43,70,17,12.12,TR,1638768847,41.7711,34.8709
5,Boa Vista,78.78,78,75,6.91,BR,1638768848,2.8197,-60.6733
6,Hermanus,59.9,88,100,7.25,ZA,1638768848,-34.4187,19.2345
7,Ushuaia,42.46,65,20,12.66,AR,1638768849,-54.8,-68.3
8,Rikitea,76.24,76,98,7.99,PF,1638768737,-23.1203,-134.9692
9,Avarua,77.05,88,20,8.05,CK,1638768850,-21.2078,-159.775
10,Mataura,55.47,51,59,8.52,NZ,1638768850,-46.1927,168.8643
11,Kaukauna,34.39,92,90,4.0,US,1638768845,44.278,-88.272
12,São Francisco do Conde,77.02,96,13,0.81,BR,1638768851,-12.6275,-38.68
13,Albany,42.31,60,100,1.99,US,1638768851,42.6001,-73.9662
14,Nouadhibou,66.6,47,56,13.4,MR,1638768851,20.931,-17.0347
15,Saint-Philippe,85.55,71,15,11.61,RE,1638768852,-21.3585,55.7679
16,Boralday,37.26,87,90,2.24,KZ,1638768852,43.3578,76.8594
17,Severo-Kuril'sk,35.08,86,91,16.37,RU,1638768853,50.6789,156.125
18,Kuna,36.79,68,1,1.99,US,1638768605,43.4918,-116.4201
19,San Patricio,75.88,88,100,15.37,US,1638768570,28.017,-97.5169
20,Nikolskoye,-3.6,96,7,4.81,RU,1638768854,59.7035,30.7861
21,Bredasdorp,59.29,90,100,7.45,ZA,1638768853,-34.5322,20.0403
22,Shache,38.73,23,100,0.69,CN,1638768854,38.4167,77.2406
23,Melilla,57.58,67,20,16.11,ES,1638768855,35.2937,-2.9383
24,Tiksi,-22.81,96,100,8.48,RU,1638768855,71.6872,128.8694
25,Shahr-e Bābak,52.12,36,45,10.89,IR,1638768855,30.1165,55.1186
26,Busselton,78.15,37,22,5.99,AU,1638768791,-33.65,115.3333
27,Lagos,80.92,91,22,2.93,NG,1638768706,6.5833,3.75
28,Pacific Grove,57.61,91,1,1.01,US,1638768856,36.6177,-121.9166
29,Lebu,55.24,85,1,1.88,CL,1638768857,-37.6167,-73.65
30,Mildura,89.56,9,91,3.44,AU,1638768857,-34.2,142.15
31,Kapaa,75.52,76,20,4.0,US,1638768672,22.0752,-159.319
32,Narsaq,25.02,82,79,11.32,GL,1638768858,60.9167,-46.05
33,Talaya,-40.0,100,57,0.4,RU,1638768858,61.3833,152.75
34,Tuscaloosa,66.85,83,20,9.22,US,1638768858,33.2098,-87.5692
35,Bethel,50.58,73,90,1.01,US,1638768859,41.3712,-73.414
36,Hualmay,64.87,91,97,7.45,PE,1638768859,-11.0964,-77.6139
37,Punta Arenas,43.23,75,99,4.85,CL,1638768636,-53.15,-70.9167
38,Tasiilaq,30.36,97,100,14.94,GL,1638768737,65.6145,-37.6368
39,Bulgan,29.14,27,72,3.11,MN,1638768860,48.8125,103.5347
40,Qaanaaq,20.88,78,100,7.07,GL,1638768861,77.484,-69.3632
41,Darnah,58.69,69,9,18.9,LY,1638768861,32.767,22.6367
42,Port Alfred,69.82,81,80,16.75,ZA,1638768861,-33.5906,26.891
43,Cherskiy,-29.63,97,100,3.56,RU,1638768862,68.75,161.3
44,Klaksvík,38.32,69,100,32.26,FO,1638768862,62.2266,-6.589
45,Port Elizabeth,68.09,88,0,5.75,ZA,1638768863,-33.918,25.5701
46,Lata,51.82,96,37,2.24,PT,1638768863,40.1629,-8.3327
47,Cape Town,60.12,91,75,1.01,ZA,1638768659,-33.9258,18.4232
48,Norman Wells,-29.16,68,40,2.3,CA,1638768864,65.282,-126.8329
49,Yulara,93.04,24,0,6.91,AU,1638768864,-25.2406,130.9889
50,Odoyev,25.43,87,100,5.44,RU,1638768864,53.9393,36.6864
51,Bundaberg,83.21,67,75,3.0,AU,1638768736,-24.85,152.35
52,Les Cayes,75.99,78,38,3.53,HT,1638768865,18.2,-73.75
53,New Norfolk,75.92,41,86,10.0,AU,1638768865,-42.7826,147.0587
54,Lodja,72.59,94,99,0.13,CD,1638768866,-3.4833,23.4333
55,Puerto Carreño,77.72,70,95,7.16,CO,1638768852,6.189,-67.4859
56,Hithadhoo,81.46,78,100,12.46,MV,1638768812,-0.6,73.0833
57,Kazachinskoye,33.62,88,100,12.57,RU,1638768867,57.6953,93.2761
58,Lavrentiya,24.96,96,100,12.01,RU,1638768867,65.5833,-171.0
59,Atchison,45.77,53,100,23.67,US,1638768867,39.563,-95.1216
60,Acarí,70.2,79,100,3.89,PE,1638768868,-15.4311,-74.6158
61,Gallup,40.01,58,1,4.61,US,1638768868,35.5281,-108.7426
62,Ribeira Grande,63.64,71,86,10.42,PT,1638768869,38.5167,-28.7
63,Kodinsk,26.92,96,100,3.38,RU,1638768869,58.6881,99.1844
64,Clyde River,10.63,85,100,23.02,CA,1638768870,70.4692,-68.5914
65,Hofn,41.88,96,100,21.68,IS,1638768870,64.2539,-15.2082
66,Castro,58.96,97,80,3.44,BR,1638768870,-24.7911,-50.0119
67,East London,68.94,88,20,10.36,ZA,1638768871,-33.0153,27.9116
68,Jasidih,78.39,48,2,5.66,IN,1638768871,24.5167,86.65
69,Pochutla,74.82,75,0,3.87,MX,1638768872,15.7432,-96.4661
70,Hobart,76.26,47,75,5.99,AU,1638768712,-42.8794,147.3294
71,Butaritari,82.02,78,98,15.01,KI,1638768872,3.0707,172.7902
72,Carnarvon,82.47,61,0,21.85,AU,1638768873,-24.8667,113.6333
73,Rio Verde de Mato Grosso,72.34,93,70,4.63,BR,1638768873,-18.9181,-54.8442
